	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
0	 ( 2147483647 0 )	 ( 22 2 )	 ( 25 2 )	 ( 28 1 )	 ( 6 16 )	 ( 28 3 )	 ( 28 3 )	 ( 6 24 )	 ( 6 26 )	 ( 6 25 )	 ( 6 26 )	 ( 6 25 )	 ( 6 24 )	 ( 6 17 )	 ( 6 26 )	 ( 6 17 )	 ( 6 17 )	 ( 4 26 )	 ( 4 25 )	 ( 6 26 )	 ( 6 27 )	 ( 6 54 )	 ( 6 54 )	 ( 6 54 )	 ( 4 26 )	 ( 6 17 )	 ( 6 25 )	 ( 6 17 )	 ( 25 5 )	 ( 25 3 )	 ( 22 4 )	 ( 28 4 )	 ( 28 6 )	 ( 28 4 )	 ( 28 4 )	 ( 6 57 )	 ( 14 11 )	 ( 14 12 )	 ( 28 4 )	 ( 6 18 )	 ( 6 17 )	 ( 25 5 )	 ( 25 4 )	 ( 25 3 )	 ( 25 3 )	 ( 6 19 )	 ( 6 16 )	 ( 10 8 )	 ( 6 18 )	 ( 6 17 )	 ( 6 17 )	 ( 4 27 )	 ( 6 27 )	 ( 6 26 )	 ( 6 26 )	 ( 20 7 )	 ( 22 46 )	 ( 22 3 )	 ( 28 47 )	 ( 10 7 )	 ( 16 7 )	 ( 6 25 )	 ( 4 28 )	 ( 28 6 )	 ( 6 26 )	 ( 6 32 )	 ( 6 31 )	 ( 16 9 )	 ( 10 9 )	 ( 16 9 )	 ( 16 9 )	 ( 20 4 )
1	 ( 22 2 )	 ( 2147483647 0 )	 ( 33 2 )	 ( 22 3 )	 ( 6 18 )	 ( 28 2 )	 ( 25 2 )	 ( 6 26 )	 ( 6 28 )	 ( 6 23 )	 ( 6 28 )	 ( 6 27 )	 ( 6 26 )	 ( 6 19 )	 ( 6 28 )	 ( 6 19 )	 ( 6 19 )	 ( 4 24 )	 ( 4 23 )	 ( 6 24 )	 ( 6 29 )	 ( 6 56 )	 ( 6 56 )	 ( 6 56 )	 ( 4 24 )	 ( 6 19 )	 ( 6 27 )	 ( 6 19 )	 ( 40 3 )	 ( 33 3 )	 ( 40 2 )	 ( 28 3 )	 ( 40 4 )	 ( 25 3 )	 ( 25 3 )	 ( 6 59 )	 ( 14 9 )	 ( 14 10 )	 ( 22 2 )	 ( 6 20 )	 ( 6 19 )	 ( 40 3 )	 ( 25 3 )	 ( 40 1 )	 ( 40 1 )	 ( 6 21 )	 ( 6 14 )	 ( 10 6 )	 ( 6 16 )	 ( 6 15 )	 ( 6 15 )	 ( 4 25 )	 ( 6 29 )	 ( 6 28 )	 ( 6 28 )	 ( 20 5 )	 ( 22 44 )	 ( 22 1 )	 ( 22 45 )	 ( 10 5 )	 ( 16 5 )	 ( 6 27 )	 ( 4 26 )	 ( 22 4 )	 ( 6 24 )	 ( 6 30 )	 ( 6 29 )	 ( 16 7 )	 ( 10 7 )	 ( 16 7 )	 ( 16 7 )	 ( 20 2 )
2	 ( 25 2 )	 ( 33 2 )	 ( 2147483647 0 )	 ( 28 2 )	 ( 6 18 )	 ( 40 2 )	 ( 25 2 )	 ( 6 26 )	 ( 6 28 )	 ( 6 23 )	 ( 6 28 )	 ( 6 27 )	 ( 6 26 )	 ( 6 19 )	 ( 6 28 )	 ( 6 19 )	 ( 6 19 )	 ( 4 24 )	 ( 4 23 )	 ( 6 24 )	 ( 6 29 )	 ( 6 56 )	 ( 6 56 )	 ( 6 56 )	 ( 4 24 )	 ( 6 19 )	 ( 6 27 )	 ( 6 19 )	 ( 33 3 )	 ( 40 1 )	 ( 33 3 )	 ( 40 3 )	 ( 33 4 )	 ( 25 3 )	 ( 25 3 )	 ( 6 59 )	 ( 14 9 )	 ( 14 10 )	 ( 22 2 )	 ( 6 20 )	 ( 6 19 )	 ( 33 3 )	 ( 25 3 )	 ( 33 1 )	 ( 25 1 )	 ( 6 21 )	 ( 6 14 )	 ( 10 7 )	 ( 6 17 )	 ( 6 15 )	 ( 6 15 )	 ( 4 25 )	 ( 6 29 )	 ( 6 28 )	 ( 6 28 )	 ( 20 6 )	 ( 33 45 )	 ( 33 2 )	 ( 40 46 )	 ( 10 6 )	 ( 16 5 )	 ( 6 27 )	 ( 4 26 )	 ( 22 4 )	 ( 6 24 )	 ( 6 30 )	 ( 6 29 )	 ( 16 7 )	 ( 16 8 )	 ( 16 7 )	 ( 16 7 )	 ( 20 2 )
3	 ( 28 1 )	 ( 22 3 )	 ( 28 2 )	 ( 2147483647 0 )	 ( 6 17 )	 ( 50 2 )	 ( 40 2 )	 ( 6 25 )	 ( 6 27 )	 ( 6 25 )	 ( 6 27 )	 ( 6 26 )	 ( 6 25 )	 ( 6 18 )	 ( 6 27 )	 ( 6 18 )	 ( 6 18 )	 ( 4 25 )	 ( 4 24 )	 ( 6 26 )	 ( 6 28 )	 ( 6 55 )	 ( 6 55 )	 ( 6 55 )	 ( 4 25 )	 ( 6 18 )	 ( 6 26 )	 ( 6 18 )	 ( 40 5 )	 ( 50 3 )	 ( 28 5 )	 ( 40 3 )	 ( 40 5 )	 ( 40 3 )	 ( 40 3 )	 ( 6 58 )	 ( 14 10 )	 ( 14 11 )	 ( 50 3 )	 ( 6 19 )	 ( 6 18 )	 ( 33 5 )	 ( 25 3 )	 ( 28 3 )	 ( 28 3 )	 ( 6 20 )	 ( 6 16 )	 ( 10 8 )	 ( 6 18 )	 ( 6 17 )	 ( 6 17 )	 ( 4 26 )	 ( 6 28 )	 ( 6 27 )	 ( 6 27 )	 ( 20 7 )	 ( 22 46 )	 ( 22 3 )	 ( 40 46 )	 ( 10 7 )	 ( 16 7 )	 ( 6 26 )	 ( 4 27 )	 ( 50 5 )	 ( 6 26 )	 ( 6 32 )	 ( 6 31 )	 ( 16 9 )	 ( 10 9 )	 ( 16 9 )	 ( 16 9 )	 ( 20 4 )
4	 ( 6 16 )	 ( 6 18 )	 ( 6 18 )	 ( 6 17 )	 ( 2147483647 0 )	 ( 6 19 )	 ( 6 19 )	 ( 8 8 )	 ( 8 10 )	 ( 5 15 )	 ( 8 10 )	 ( 8 9 )	 ( 7 8 )	 ( 40 1 )	 ( 8 10 )	 ( 50 1 )	 ( 40 1 )	 ( 8 14 )	 ( 8 13 )	 ( 5 16 )	 ( 8 11 )	 ( 8 38 )	 ( 8 38 )	 ( 8 38 )	 ( 8 12 )	 ( 50 1 )	 ( 7 9 )	 ( 40 1 )	 ( 6 21 )	 ( 6 19 )	 ( 6 20 )	 ( 6 20 )	 ( 6 22 )	 ( 6 20 )	 ( 6 20 )	 ( 8 41 )	 ( 11 17 )	 ( 16 17 )	 ( 6 20 )	 ( 50 2 )	 ( 28 1 )	 ( 6 21 )	 ( 6 20 )	 ( 6 19 )	 ( 6 19 )	 ( 40 3 )	 ( 14 11 )	 ( 5 22 )	 ( 14 14 )	 ( 14 12 )	 ( 14 12 )	 ( 8 13 )	 ( 8 11 )	 ( 7 10 )	 ( 10 10 )	 ( 6 23 )	 ( 6 62 )	 ( 6 19 )	 ( 6 63 )	 ( 6 23 )	 ( 6 23 )	 ( 10 9 )	 ( 8 13 )	 ( 6 22 )	 ( 5 16 )	 ( 8 20 )	 ( 8 21 )	 ( 6 23 )	 ( 5 23 )	 ( 5 23 )	 ( 5 23 )	 ( 6 20 )
5	 ( 28 3 )	 ( 28 2 )	 ( 40 2 )	 ( 50 2 )	 ( 6 19 )	 ( 2147483647 0 )	 ( 25 2 )	 ( 6 27 )	 ( 4 27 )	 ( 6 24 )	 ( 4 28 )	 ( 4 26 )	 ( 6 27 )	 ( 6 20 )	 ( 6 29 )	 ( 6 20 )	 ( 6 20 )	 ( 4 23 )	 ( 4 22 )	 ( 6 25 )	 ( 4 28 )	 ( 4 55 )	 ( 4 55 )	 ( 4 55 )	 ( 4 23 )	 ( 6 20 )	 ( 6 28 )	 ( 6 20 )	 ( 40 3 )	 ( 50 1 )	 ( 40 4 )	 ( 40 1 )	 ( 18 3 )	 ( 25 3 )	 ( 18 1 )	 ( 4 58 )	 ( 14 8 )	 ( 14 9 )	 ( 50 1 )	 ( 6 21 )	 ( 6 20 )	 ( 33 3 )	 ( 25 3 )	 ( 22 2 )	 ( 28 1 )	 ( 6 22 )	 ( 6 15 )	 ( 10 6 )	 ( 6 16 )	 ( 6 16 )	 ( 6 16 )	 ( 4 24 )	 ( 4 29 )	 ( 6 29 )	 ( 6 29 )	 ( 20 5 )	 ( 22 44 )	 ( 22 1 )	 ( 40 44 )	 ( 10 5 )	 ( 16 5 )	 ( 6 28 )	 ( 4 25 )	 ( 50 3 )	 ( 6 25 )	 ( 6 31 )	 ( 6 30 )	 ( 16 7 )	 ( 10 7 )	 ( 16 7 )	 ( 16 7 )	 ( 20 3 )
6	 ( 28 3 )	 ( 25 2 )	 ( 25 2 )	 ( 40 2 )	 ( 6 19 )	 ( 25 2 )	 ( 2147483647 0 )	 ( 6 27 )	 ( 4 27 )	 ( 6 24 )	 ( 4 28 )	 ( 4 26 )	 ( 6 27 )	 ( 6 20 )	 ( 6 29 )	 ( 6 20 )	 ( 6 20 )	 ( 4 23 )	 ( 4 22 )	 ( 6 25 )	 ( 4 28 )	 ( 4 55 )	 ( 4 55 )	 ( 4 55 )	 ( 4 23 )	 ( 6 20 )	 ( 6 28 )	 ( 6 20 )	 ( 50 4 )	 ( 25 3 )	 ( 25 3 )	 ( 25 3 )	 ( 50 3 )	 ( 50 1 )	 ( 50 1 )	 ( 4 58 )	 ( 14 8 )	 ( 14 9 )	 ( 18 1 )	 ( 6 21 )	 ( 6 20 )	 ( 25 3 )	 ( 25 1 )	 ( 18 2 )	 ( 25 1 )	 ( 6 22 )	 ( 6 15 )	 ( 10 7 )	 ( 6 17 )	 ( 6 16 )	 ( 6 16 )	 ( 4 24 )	 ( 4 29 )	 ( 6 29 )	 ( 6 29 )	 ( 20 6 )	 ( 25 45 )	 ( 25 2 )	 ( 25 46 )	 ( 10 6 )	 ( 16 5 )	 ( 6 28 )	 ( 4 25 )	 ( 18 3 )	 ( 6 25 )	 ( 6 31 )	 ( 6 30 )	 ( 16 7 )	 ( 16 8 )	 ( 16 7 )	 ( 16 7 )	 ( 18 3 )
7	 ( 6 24 )	 ( 6 26 )	 ( 6 26 )	 ( 6 25 )	 ( 8 8 )	 ( 6 27 )	 ( 6 27 )	 ( 2147483647 0 )	 ( 12 2 )	 ( 5 7 )	 ( 40 2 )	 ( 50 1 )	 ( 50 1 )	 ( 8 7 )	 ( 50 2 )	 ( 8 8 )	 ( 8 8 )	 ( 25 6 )	 ( 25 5 )	 ( 5 8 )	 ( 50 3 )	 ( 25 30 )	 ( 22 30 )	 ( 25 30 )	 ( 25 4 )	 ( 8 8 )	 ( 20 6 )	 ( 8 8 )	 ( 6 29 )	 ( 6 27 )	 ( 6 28 )	 ( 6 28 )	 ( 6 30 )	 ( 6 28 )	 ( 6 28 )	 ( 25 33 )	 ( 8 25 )	 ( 8 25 )	 ( 4 26 )	 ( 8 10 )	 ( 8 8 )	 ( 6 29 )	 ( 6 28 )	 ( 6 27 )	 ( 6 27 )	 ( 8 9 )	 ( 5 16 )	 ( 5 26 )	 ( 5 19 )	 ( 5 15 )	 ( 5 16 )	 ( 20 5 )	 ( 25 3 )	 ( 20 5 )	 ( 50 5 )	 ( 5 29 )	 ( 6 70 )	 ( 6 27 )	 ( 6 71 )	 ( 5 27 )	 ( 5 28 )	 ( 14 6 )	 ( 12 5 )	 ( 4 28 )	 ( 5 8 )	 ( 12 12 )	 ( 12 13 )	 ( 5 26 )	 ( 5 27 )	 ( 5 27 )	 ( 5 27 )	 ( 6 28 )
8	 ( 6 26 )	 ( 6 28 )	 ( 6 28 )	 ( 6 27 )	 ( 8 10 )	 ( 4 27 )	 ( 4 27 )	 ( 12 2 )	 ( 2147483647 0 )	 ( 5 9 )	 ( 18 1 )	 ( 20 2 )	 ( 20 3 )	 ( 8 9 )	 ( 18 4 )	 ( 8 10 )	 ( 8 10 )	 ( 20 6 )	 ( 20 5 )	 ( 5 10 )	 ( 18 3 )	 ( 20 31 )	 ( 20 31 )	 ( 20 31 )	 ( 20 4 )	 ( 8 10 )	 ( 18 8 )	 ( 8 10 )	 ( 4 30 )	 ( 4 28 )	 ( 4 29 )	 ( 4 28 )	 ( 4 30 )	 ( 4 28 )	 ( 4 28 )	 ( 20 34 )	 ( 8 27 )	 ( 8 27 )	 ( 4 26 )	 ( 8 12 )	 ( 8 10 )	 ( 4 29 )	 ( 4 28 )	 ( 4 27 )	 ( 4 28 )	 ( 8 11 )	 ( 5 18 )	 ( 5 28 )	 ( 5 21 )	 ( 5 17 )	 ( 5 18 )	 ( 25 3 )	 ( 18 4 )	 ( 18 7 )	 ( 18 7 )	 ( 5 31 )	 ( 4 71 )	 ( 4 28 )	 ( 4 71 )	 ( 5 29 )	 ( 5 30 )	 ( 14 8 )	 ( 50 3 )	 ( 4 28 )	 ( 5 10 )	 ( 20 10 )	 ( 12 11 )	 ( 5 28 )	 ( 5 29 )	 ( 5 29 )	 ( 5 29 )	 ( 4 28 )
9	 ( 6 25 )	 ( 6 23 )	 ( 6 23 )	 ( 6 25 )	 ( 5 15 )	 ( 6 24 )	 ( 6 24 )	 ( 5 7 )	 ( 5 9 )	 ( 2147483647 0 )	 ( 5 9 )	 ( 5 8 )	 ( 5 8 )	 ( 5 14 )	 ( 5 9 )	 ( 5 15 )	 ( 5 15 )	 ( 13 6 )	 ( 13 7 )	 ( 33 1 )	 ( 5 10 )	 ( 5 37 )	 ( 5 37 )	 ( 5 37 )	 ( 13 8 )	 ( 5 15 )	 ( 5 13 )	 ( 5 15 )	 ( 6 25 )	 ( 6 24 )	 ( 6 24 )	 ( 6 25 )	 ( 6 26 )	 ( 6 25 )	 ( 6 25 )	 ( 5 40 )	 ( 6 30 )	 ( 6 31 )	 ( 6 23 )	 ( 5 17 )	 ( 5 15 )	 ( 6 26 )	 ( 6 25 )	 ( 6 22 )	 ( 6 24 )	 ( 5 16 )	 ( 28 9 )	 ( 7 19 )	 ( 25 12 )	 ( 28 8 )	 ( 28 9 )	 ( 13 9 )	 ( 5 10 )	 ( 5 12 )	 ( 5 12 )	 ( 6 22 )	 ( 6 66 )	 ( 6 23 )	 ( 6 67 )	 ( 7 20 )	 ( 6 21 )	 ( 5 13 )	 ( 13 10 )	 ( 6 25 )	 ( 50 1 )	 ( 12 7 )	 ( 40 6 )	 ( 6 19 )	 ( 7 20 )	 ( 7 20 )	 ( 7 20 )	 ( 6 23 )
10	 ( 6 26 )	 ( 6 28 )	 ( 6 28 )	 ( 6 27 )	 ( 8 10 )	 ( 4 28 )	 ( 4 28 )	 ( 40 2 )	 ( 18 1 )	 ( 5 9 )	 ( 2147483647 0 )	 ( 40 3 )	 ( 40 3 )	 ( 8 9 )	 ( 40 3 )	 ( 8 10 )	 ( 8 10 )	 ( 18 7 )	 ( 18 6 )	 ( 5 10 )	 ( 40 2 )	 ( 40 31 )	 ( 40 31 )	 ( 40 31 )	 ( 18 5 )	 ( 8 10 )	 ( 20 7 )	 ( 8 10 )	 ( 6 31 )	 ( 6 29 )	 ( 6 30 )	 ( 4 29 )	 ( 4 31 )	 ( 4 29 )	 ( 4 29 )	 ( 40 34 )	 ( 8 27 )	 ( 8 27 )	 ( 4 27 )	 ( 8 12 )	 ( 8 10 )	 ( 4 30 )	 ( 4 29 )	 ( 4 28 )	 ( 6 29 )	 ( 8 11 )	 ( 5 18 )	 ( 5 28 )	 ( 5 21 )	 ( 5 17 )	 ( 5 18 )	 ( 18 4 )	 ( 33 3 )	 ( 20 6 )	 ( 40 6 )	 ( 5 31 )	 ( 6 72 )	 ( 6 29 )	 ( 4 72 )	 ( 5 29 )	 ( 5 30 )	 ( 14 7 )	 ( 18 4 )	 ( 4 29 )	 ( 5 10 )	 ( 18 11 )	 ( 12 12 )	 ( 5 28 )	 ( 5 29 )	 ( 5 29 )	 ( 5 29 )	 ( 4 29 )
11	 ( 6 25 )	 ( 6 27 )	 ( 6 27 )	 ( 6 26 )	 ( 8 9 )	 ( 4 26 )	 ( 4 26 )	 ( 50 1 )	 ( 20 2 )	 ( 5 8 )	 ( 40 3 )	 ( 2147483647 0 )	 ( 50 1 )	 ( 8 8 )	 ( 50 3 )	 ( 8 9 )	 ( 8 9 )	 ( 25 5 )	 ( 25 4 )	 ( 5 9 )	 ( 50 2 )	 ( 25 29 )	 ( 22 29 )	 ( 25 29 )	 ( 25 3 )	 ( 8 9 )	 ( 20 7 )	 ( 8 9 )	 ( 4 29 )	 ( 4 27 )	 ( 4 28 )	 ( 4 27 )	 ( 4 29 )	 ( 4 27 )	 ( 4 27 )	 ( 25 32 )	 ( 8 26 )	 ( 8 26 )	 ( 4 25 )	 ( 8 11 )	 ( 8 9 )	 ( 4 28 )	 ( 4 27 )	 ( 4 26 )	 ( 4 27 )	 ( 8 10 )	 ( 5 17 )	 ( 5 27 )	 ( 5 20 )	 ( 5 16 )	 ( 5 17 )	 ( 20 4 )	 ( 33 3 )	 ( 20 6 )	 ( 50 6 )	 ( 5 30 )	 ( 4 70 )	 ( 4 27 )	 ( 4 70 )	 ( 5 28 )	 ( 5 29 )	 ( 14 7 )	 ( 20 5 )	 ( 4 27 )	 ( 5 9 )	 ( 20 12 )	 ( 12 13 )	 ( 5 27 )	 ( 5 28 )	 ( 5 28 )	 ( 5 28 )	 ( 4 27 )
12	 ( 6 24 )	 ( 6 26 )	 ( 6 26 )	 ( 6 25 )	 ( 7 8 )	 ( 6 27 )	 ( 6 27 )	 ( 50 1 )	 ( 20 3 )	 ( 5 8 )	 ( 40 3 )	 ( 50 1 )	 ( 2147483647 0 )	 ( 7 7 )	 ( 50 3 )	 ( 7 8 )	 ( 7 8 )	 ( 25 6 )	 ( 25 5 )	 ( 5 9 )	 ( 50 3 )	 ( 25 30 )	 ( 22 30 )	 ( 25 30 )	 ( 25 4 )	 ( 7 8 )	 ( 20 7 )	 ( 7 8 )	 ( 6 29 )	 ( 6 27 )	 ( 6 28 )	 ( 6 28 )	 ( 6 30 )	 ( 6 28 )	 ( 6 28 )	 ( 25 33 )	 ( 7 25 )	 ( 7 25 )	 ( 4 26 )	 ( 7 10 )	 ( 7 8 )	 ( 6 29 )	 ( 6 28 )	 ( 6 27 )	 ( 6 27 )	 ( 7 9 )	 ( 7 17 )	 ( 5 27 )	 ( 7 20 )	 ( 5 16 )	 ( 5 17 )	 ( 20 5 )	 ( 33 4 )	 ( 20 6 )	 ( 50 6 )	 ( 5 30 )	 ( 6 70 )	 ( 6 27 )	 ( 6 71 )	 ( 5 28 )	 ( 5 29 )	 ( 14 7 )	 ( 20 6 )	 ( 4 28 )	 ( 5 9 )	 ( 20 13 )	 ( 12 14 )	 ( 5 27 )	 ( 5 28 )	 ( 5 28 )	 ( 5 28 )	 ( 6 28 )
13	 ( 6 17 )	 ( 6 19 )	 ( 6 19 )	 ( 6 18 )	 ( 40 1 )	 ( 6 20 )	 ( 6 20 )	 ( 8 7 )	 ( 8 9 )	 ( 5 14 )	 ( 8 9 )	 ( 8 8 )	 ( 7 7 )	 ( 2147483647 0 )	 ( 8 9 )	 ( 50 1 )	 ( 50 1 )	 ( 8 13 )	 ( 8 12 )	 ( 5 15 )	 ( 8 10 )	 ( 8 37 )	 ( 8 37 )	 ( 8 37 )	 ( 8 11 )	 ( 50 1 )	 ( 7 8 )	 ( 50 1 )	 ( 6 22 )	 ( 6 20 )	 ( 6 21 )	 ( 6 21 )	 ( 6 23 )	 ( 6 21 )	 ( 6 21 )	 ( 8 40 )	 ( 11 18 )	 ( 16 18 )	 ( 6 21 )	 ( 40 3 )	 ( 50 1 )	 ( 6 22 )	 ( 6 21 )	 ( 6 20 )	 ( 6 20 )	 ( 50 2 )	 ( 14 10 )	 ( 5 21 )	 ( 14 13 )	 ( 14 11 )	 ( 14 11 )	 ( 8 12 )	 ( 8 10 )	 ( 7 9 )	 ( 10 9 )	 ( 6 24 )	 ( 6 63 )	 ( 6 20 )	 ( 6 64 )	 ( 5 22 )	 ( 6 24 )	 ( 10 8 )	 ( 8 12 )	 ( 6 23 )	 ( 5 15 )	 ( 8 19 )	 ( 8 20 )	 ( 6 22 )	 ( 5 22 )	 ( 5 22 )	 ( 5 22 )	 ( 6 21 )
14	 ( 6 26 )	 ( 6 28 )	 ( 6 28 )	 ( 6 27 )	 ( 8 10 )	 ( 6 29 )	 ( 6 29 )	 ( 50 2 )	 ( 18 4 )	 ( 5 9 )	 ( 40 3 )	 ( 50 3 )	 ( 50 3 )	 ( 8 9 )	 ( 2147483647 0 )	 ( 8 10 )	 ( 8 10 )	 ( 25 8 )	 ( 25 7 )	 ( 5 10 )	 ( 50 1 )	 ( 50 30 )	 ( 40 30 )	 ( 50 30 )	 ( 25 6 )	 ( 8 10 )	 ( 20 4 )	 ( 8 10 )	 ( 6 31 )	 ( 6 29 )	 ( 6 30 )	 ( 6 30 )	 ( 6 32 )	 ( 6 30 )	 ( 6 30 )	 ( 50 33 )	 ( 8 27 )	 ( 8 27 )	 ( 4 28 )	 ( 8 12 )	 ( 8 10 )	 ( 6 31 )	 ( 6 30 )	 ( 6 29 )	 ( 6 29 )	 ( 8 11 )	 ( 5 18 )	 ( 5 28 )	 ( 5 21 )	 ( 5 17 )	 ( 5 18 )	 ( 20 7 )	 ( 25 1 )	 ( 20 3 )	 ( 50 3 )	 ( 5 31 )	 ( 6 72 )	 ( 6 29 )	 ( 6 73 )	 ( 5 29 )	 ( 5 30 )	 ( 14 4 )	 ( 18 7 )	 ( 4 30 )	 ( 5 10 )	 ( 18 14 )	 ( 12 15 )	 ( 5 28 )	 ( 5 29 )	 ( 5 29 )	 ( 5 29 )	 ( 6 30 )
15	 ( 6 17 )	 ( 6 19 )	 ( 6 19 )	 ( 6 18 )	 ( 50 1 )	 ( 6 20 )	 ( 6 20 )	 ( 8 8 )	 ( 8 10 )	 ( 5 15 )	 ( 8 10 )	 ( 8 9 )	 ( 7 8 )	 ( 50 1 )	 ( 8 10 )	 ( 2147483647 0 )	 ( 50 1 )	 ( 8 14 )	 ( 8 13 )	 ( 5 16 )	 ( 8 11 )	 ( 8 38 )	 ( 8 38 )	 ( 8 38 )	 ( 8 12 )	 ( 50 2 )	 ( 7 9 )	 ( 50 2 )	 ( 6 22 )	 ( 6 20 )	 ( 6 21 )	 ( 6 21 )	 ( 6 23 )	 ( 6 21 )	 ( 6 21 )	 ( 8 41 )	 ( 11 18 )	 ( 16 18 )	 ( 6 21 )	 ( 50 3 )	 ( 50 2 )	 ( 6 22 )	 ( 6 21 )	 ( 6 20 )	 ( 6 20 )	 ( 50 3 )	 ( 14 11 )	 ( 5 22 )	 ( 14 14 )	 ( 14 12 )	 ( 14 12 )	 ( 8 13 )	 ( 8 11 )	 ( 7 10 )	 ( 10 10 )	 ( 6 24 )	 ( 6 63 )	 ( 6 20 )	 ( 6 64 )	 ( 5 23 )	 ( 6 24 )	 ( 10 9 )	 ( 8 13 )	 ( 6 23 )	 ( 5 16 )	 ( 8 20 )	 ( 8 21 )	 ( 6 23 )	 ( 5 23 )	 ( 5 23 )	 ( 5 23 )	 ( 6 21 )
16	 ( 6 17 )	 ( 6 19 )	 ( 6 19 )	 ( 6 18 )	 ( 40 1 )	 ( 6 20 )	 ( 6 20 )	 ( 8 8 )	 ( 8 10 )	 ( 5 15 )	 ( 8 10 )	 ( 8 9 )	 ( 7 8 )	 ( 50 1 )	 ( 8 10 )	 ( 50 1 )	 ( 2147483647 0 )	 ( 8 14 )	 ( 8 13 )	 ( 5 16 )	 ( 8 11 )	 ( 8 38 )	 ( 8 38 )	 ( 8 38 )	 ( 8 12 )	 ( 50 1 )	 ( 7 9 )	 ( 50 2 )	 ( 6 22 )	 ( 6 20 )	 ( 6 21 )	 ( 6 21 )	 ( 6 23 )	 ( 6 21 )	 ( 6 21 )	 ( 8 41 )	 ( 11 18 )	 ( 16 18 )	 ( 6 21 )	 ( 40 3 )	 ( 50 2 )	 ( 6 22 )	 ( 6 21 )	 ( 6 20 )	 ( 6 20 )	 ( 50 3 )	 ( 14 11 )	 ( 5 22 )	 ( 14 14 )	 ( 14 12 )	 ( 14 12 )	 ( 8 13 )	 ( 8 11 )	 ( 7 10 )	 ( 10 10 )	 ( 6 24 )	 ( 6 63 )	 ( 6 20 )	 ( 6 64 )	 ( 5 23 )	 ( 6 24 )	 ( 10 9 )	 ( 8 13 )	 ( 6 23 )	 ( 5 16 )	 ( 8 20 )	 ( 8 21 )	 ( 6 23 )	 ( 5 23 )	 ( 5 23 )	 ( 5 23 )	 ( 6 21 )
17	 ( 4 26 )	 ( 4 24 )	 ( 4 24 )	 ( 4 25 )	 ( 8 14 )	 ( 4 23 )	 ( 4 23 )	 ( 25 6 )	 ( 20 6 )	 ( 13 6 )	 ( 18 7 )	 ( 25 5 )	 ( 25 6 )	 ( 8 13 )	 ( 25 8 )	 ( 8 14 )	 ( 8 14 )	 ( 2147483647 0 )	 ( 33 1 )	 ( 22 6 )	 ( 25 7 )	 ( 25 34 )	 ( 22 34 )	 ( 25 34 )	 ( 33 2 )	 ( 8 14 )	 ( 20 12 )	 ( 8 14 )	 ( 4 26 )	 ( 4 24 )	 ( 4 25 )	 ( 4 24 )	 ( 4 26 )	 ( 4 24 )	 ( 4 24 )	 ( 25 37 )	 ( 4 29 )	 ( 4 30 )	 ( 4 22 )	 ( 8 16 )	 ( 8 14 )	 ( 4 25 )	 ( 4 24 )	 ( 4 23 )	 ( 4 24 )	 ( 8 15 )	 ( 13 15 )	 ( 7 25 )	 ( 13 18 )	 ( 13 14 )	 ( 13 15 )	 ( 20 3 )	 ( 25 8 )	 ( 20 11 )	 ( 25 11 )	 ( 6 28 )	 ( 4 67 )	 ( 4 24 )	 ( 4 67 )	 ( 7 26 )	 ( 6 27 )	 ( 14 12 )	 ( 20 4 )	 ( 4 24 )	 ( 22 7 )	 ( 12 13 )	 ( 13 12 )	 ( 6 25 )	 ( 7 26 )	 ( 7 26 )	 ( 7 26 )	 ( 4 24 )
18	 ( 4 25 )	 ( 4 23 )	 ( 4 23 )	 ( 4 24 )	 ( 8 13 )	 ( 4 22 )	 ( 4 22 )	 ( 25 5 )	 ( 20 5 )	 ( 13 7 )	 ( 18 6 )	 ( 25 4 )	 ( 25 5 )	 ( 8 12 )	 ( 25 7 )	 ( 8 13 )	 ( 8 13 )	 ( 33 1 )	 ( 2147483647 0 )	 ( 22 7 )	 ( 25 6 )	 ( 25 33 )	 ( 22 33 )	 ( 25 33 )	 ( 50 1 )	 ( 8 13 )	 ( 20 11 )	 ( 8 13 )	 ( 4 25 )	 ( 4 23 )	 ( 4 24 )	 ( 4 23 )	 ( 4 25 )	 ( 4 23 )	 ( 4 23 )	 ( 25 36 )	 ( 4 28 )	 ( 4 29 )	 ( 4 21 )	 ( 8 15 )	 ( 8 13 )	 ( 4 24 )	 ( 4 23 )	 ( 4 22 )	 ( 4 23 )	 ( 8 14 )	 ( 13 16 )	 ( 7 26 )	 ( 13 19 )	 ( 13 15 )	 ( 13 16 )	 ( 20 2 )	 ( 25 7 )	 ( 20 10 )	 ( 25 10 )	 ( 4 27 )	 ( 4 66 )	 ( 4 23 )	 ( 4 66 )	 ( 7 27 )	 ( 4 26 )	 ( 14 11 )	 ( 20 3 )	 ( 4 23 )	 ( 22 8 )	 ( 12 14 )	 ( 13 13 )	 ( 6 26 )	 ( 7 27 )	 ( 7 27 )	 ( 7 27 )	 ( 4 23 )
